magnitude,count
M1.0,81
M1.1,59
M1.3,54
M1.2,49
M1.4,40
M1.5,26
M1.6,25
M1.7,24
M1.8,23
M1.9,20
M2.3,17
M2.0,17
M2.1,13
M2.2,13
M2.5,12
M2.4,10
M2.6,9
M2.9,9
M3.5,9
M2.7,9
M3.2,7
M3.1,7
M3.7,7
M3.9,6
M3.0,6
M2.8,6
M6.5,5
M3.3,5
M4.4,5
M4.2,5
M4.5,4
M5.7,4
M5.1,4
M3.8,4
M9.3,4
M4.0,4
M5.3,4
M5.5,4
M6.1,3
M7.9,3
M5.6,3
M7.3,3
M5.0,3
M5.8,3
M4.9,3
M4.7,3
M3.6,3
M6.7,3
M8.7,3
M6.6,3
M4.3,2
M7.1,2
M6.0,2
M6.9,2
M3.4,2
M5.4,2
M6.3,2
M5.9,2
M5.2,2
M7.6,2
M9.2,1
M8.4,1
M7.2,1
M9.9,1
M6.4,1
M9.0,1
M7.7,1
M4.6,1
M7.4,1
M4.1,1
