Column,Value,Count,Unique_Count
flare,N,96042,236
flare,C1.0,1820,236
flare,C1.1,1723,236
flare,C1.2,1476,236
flare,C1.3,1225,236
flare,C1.5,1059,236
flare,C1.4,1040,236
flare,C1.6,766,236
flare,C1.7,750,236
flare,C1.8,641,236
flare,C1.9,479,236
flare,C2.1,435,236
flare,C2.2,408,236
flare,C2.0,404,236
flare,C2.3,389,236
flare,C2.4,345,236
flare,M1.0,342,236
flare,C2.6,311,236
flare,C3.2,294,236
flare,B5.7,274,236
flare,B1.4,259,236
flare,B2.8,252,236
flare,B6.9,251,236
flare,C2.5,251,236
flare,B6.8,248,236
flare,C2.9,247,236
flare,B5.5,229,236
flare,M1.2,221,236
flare,B5.1,221,236
flare,C2.7,217,236
flare,B6.7,215,236
flare,C3.0,210,236
flare,C3.5,199,236
flare,B1.0,195,236
flare,B3.5,194,236
flare,C3.4,188,236
flare,M1.3,188,236
flare,B2.0,185,236
flare,B1.3,180,236
flare,B1.6,179,236
flare,B2.7,177,236
flare,C2.8,176,236
flare,M1.4,172,236
flare,C3.1,171,236
flare,B3.0,168,236
flare,B9.6,168,236
flare,B2.6,168,236
flare,M1.1,166,236
flare,B4.4,164,236
flare,B2.3,159,236
flare,B3.3,159,236
flare,B6.0,158,236
flare,B5.0,158,236
flare,B8.1,156,236
flare,B1.8,154,236
flare,B1.9,152,236
flare,B4.0,152,236
flare,B8.6,151,236
flare,B2.4,151,236
flare,B5.4,150,236
flare,B4.6,148,236
flare,M1.6,146,236
flare,C3.3,144,236
flare,C4.1,143,236
flare,B3.6,143,236
flare,B8.7,142,236
flare,B7.6,141,236
flare,M1.9,140,236
flare,B7.3,133,236
flare,C3.8,132,236
flare,B7.4,131,236
flare,B2.5,131,236
flare,B5.6,129,236
flare,B3.7,129,236
flare,B5.3,128,236
flare,B7.2,126,236
flare,B9.0,125,236
flare,B4.2,123,236
flare,B4.1,122,236
flare,B6.3,121,236
flare,B4.7,120,236
flare,B4.9,120,236
flare,B5.8,117,236
flare,C3.9,116,236
flare,B9.4,112,236
flare,B4.3,111,236
flare,B3.9,109,236
flare,B3.2,107,236
flare,B8.5,106,236
flare,B8.3,105,236
flare,B4.8,105,236
flare,C4.4,103,236
flare,B3.1,102,236
flare,B1.2,102,236
flare,B9.7,100,236
flare,B4.5,97,236
flare,C4.0,96,236
flare,C5.4,94,236
flare,B9.8,94,236
flare,B7.8,93,236
flare,B1.1,92,236
flare,B2.1,92,236
flare,B7.1,92,236
flare,B9.3,91,236
flare,B7.7,91,236
flare,C4.5,86,236
flare,B8.9,86,236
flare,B7.9,85,236
flare,B8.0,84,236
flare,X1.1,83,236
flare,B9.5,82,236
flare,C3.6,82,236
flare,M2.7,80,236
flare,B6.6,79,236
flare,B1.7,79,236
flare,B6.4,79,236
flare,M3.3,74,236
flare,C5.1,74,236
flare,M2.3,74,236
flare,B7.5,72,236
flare,M1.7,71,236
flare,C7.7,68,236
flare,C6.1,67,236
flare,B6.2,67,236
flare,C6.7,67,236
flare,B6.5,66,236
flare,C4.7,65,236
flare,B8.8,63,236
flare,B5.2,63,236
flare,M2.8,63,236
flare,C5.5,63,236
flare,B5.9,62,236
flare,C4.8,62,236
flare,C4.2,60,236
flare,C4.6,60,236
flare,B9.9,59,236
flare,B2.9,59,236
flare,B2.2,59,236
flare,C8.4,58,236
flare,M9.3,58,236
flare,B6.1,57,236
flare,C6.0,56,236
flare,B9.2,55,236
flare,B3.4,55,236
flare,M1.8,55,236
flare,C5.9,54,236
flare,M2.2,49,236
flare,C6.3,48,236
flare,M2.5,47,236
flare,B8.4,47,236
flare,M6.3,47,236
flare,X1.8,47,236
flare,C5.0,46,236
flare,M6.6,46,236
flare,B7.0,44,236
flare,M2.0,44,236
flare,C3.7,38,236
flare,M2.1,37,236
flare,C5.3,36,236
flare,C8.3,36,236
flare,C7.6,34,236
flare,M3.2,34,236
flare,M3.5,33,236
flare,M3.1,29,236
flare,C8.9,29,236
flare,M4.2,28,236
flare,M1.5,28,236
flare,C5.2,27,236
flare,C7.2,26,236
flare,C9.3,26,236
flare,M5.3,26,236
flare,M2.9,26,236
flare,M3.8,25,236
flare,B1.5,25,236
flare,M6.1,25,236
flare,C9.5,24,236
flare,X2.1,24,236
flare,M5.6,24,236
flare,M4.7,24,236
flare,M6.5,24,236
flare,X1.4,24,236
flare,M8.4,24,236
flare,B8.2,23,236
flare,M8.7,23,236
flare,M6.4,23,236
flare,M5.0,23,236
flare,C8.2,23,236
flare,C6.2,23,236
flare,C7.0,23,236
flare,B3.8,23,236
flare,X3.3,22,236
